,name,x,y,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,row,col,accsum,x_degree,y_degree,z_degree,x_rad,y_rad,z_rad,idx
0,hyeonyoung,190,376,3.302651845,-6.706607763,-7.778910831,-8.661695858,-19.07484517,-20.23120644,1,1,10.78876965240536,72.17447678520516,128.43516117341446,136.1386975876869,1.2596822558060423,2.241616437805666,2.376068512281998,4
1,hyeonyoung,313,566,0.238522267,-4.330512253,-9.965714773,22.74643897,43.33119138,19.54827461,2,2,10.868564771027884,88.74248194101035,113.48092891683824,156.4813389325674,1.5488484962622389,1.9806158478204696,2.73111458230249,8
2,hyeonyoung,203,218,5.148281757,-7.871984836,-4.994304663,4.139067316,-69.27476335,-5.393102001,0,1,10.649696210434197,61.09095861466913,137.66115074221912,117.96694992434168,1.06623837102557,2.4026403325359595,2.0589116847150377,1
3,hyeonyoung,101,210,4.714482344,-8.19804576,-1.985391727,36.67860762,-66.2709691,-36.25376985,0,0,9.663129843098549,60.79843015721352,148.0363482675622,101.85645904393432,1.0611327862871895,2.583721689897964,1.7777305747394094,0
4,hyeonyoung,97,539,2.967014407,-5.236118446,-7.193079028,11.56665471,-50.12569281,-5.575611912,2,0,9.378725754330404,71.55731762376311,123.93813498237412,140.08140775944287,1.2489107964300312,2.1631285242235925,2.444881786231011,6
5,hyeonyoung,321,204,3.728969086,-7.616554031,-5.917718316,-51.17598466,-23.24339159,-3.693410706,0,2,10.3410103867566,68.86294695688764,137.43739205989868,124.9077821430127,1.201885157023899,2.398735006799544,2.1800520597593502,2
6,hyeonyoung,98,540,2.504634504,-5.790975266,-6.966079368,-7.207079862,-12.80038837,-15.74519796,2,0,9.39866215433486,74.54458705067343,128.03544828600857,137.83183956871935,1.3010484835737803,2.23464013185778,2.4056194145547543,6
7,hyeonyoung,311,393,1.057488946,-5.540332279,-8.662520882,16.94006101,7.936518452,6.01246014,1,2,10.336964383402297,84.12827238595723,122.40991190232396,146.93099343704267,1.4683153471495791,2.1364559997717483,2.564429608702574,5
8,hyeonyoung,211,389,3.388543537,-5.369146861,-8.451681498,30.61952631,-24.81373916,-6.909996088,1,1,10.57075614422952,71.30330861617196,120.5256855909365,143.08564870179188,1.2444775029178423,2.1035700467853293,2.4973156821982183,4
9,hyeonyoung,297,566,0.544381539,-4.150796906,-10.35776529,58.52725579,54.39621053,30.91197794,2,2,11.17178445986101,87.20697070408293,111.81080182670593,157.99270555768422,1.5220487694764848,1.9514666311709088,2.7574929061155333,8
10,hyeonyoung,114,376,3.040786038,-6.702567548,-6.597073037,-12.19537448,-23.03268537,-13.56176065,1,0,9.883934647695265,72.08237382572942,132.6974892876518,131.87087639844285,1.2580747559123595,2.316008097199429,2.3015809806433096,3
11,hyeonyoung,217,225,3.657143328,-7.545925082,-6.060173315,-0.891132486,-25.80039755,-2.255426648,0,1,10.34608057539326,69.29962044489824,136.83202068461216,125.8556953394744,1.2095065471458517,2.388169283103468,2.196596266060711,1
12,hyeonyoung,211,563,0.847098402,-4.435856541,-9.83822295,40.16360236,25.80357017,8.642536324,2,1,10.82520345161744,85.5118779814536,114.19046236274126,155.34357111087843,1.4924638203400078,1.9929995426044984,2.7112567876907736,7
13,hyeonyoung,97,203,3.664325933,-8.048557793,-3.354126888,0.835546113,-28.00339311,-35.38569379,0,0,9.458157022978732,67.20563365149752,148.31675145357377,110.77064436211052,1.172959583107731,2.588615648726948,1.9333124586745225,0
